name,season,age,actual_war,predicted_war,error,abs_error,yr_ahead
Michael A. Taylor,2025,34,0.1,1.09,0.99,0.99,3
Michael Brantley,2023,36,0.1,1.03,0.93,0.93,1
Michael Conforto,2023,30,0.8,1.97,1.17,1.17,1
Michael Conforto,2024,31,1.3,1.82,0.52,0.52,2
Miguel Andujar,2023,28,0.1,1.25,1.15,1.15,1
Miguel Andujar,2024,29,0.4,1.23,0.83,0.83,2
Miguel Andujar,2025,30,0.8,1.18,0.38,0.38,3
Miguel Rojas,2023,34,1.4,1.55,0.15,0.15,1
Miguel Rojas,2024,35,3.4,1.33,-2.07,2.07,2
Miguel Rojas,2025,36,2.1,1.18,-0.92,0.92,3
Mike Tauchman,2023,32,2.7,1.55,-1.15,1.15,1
Mike Tauchman,2024,33,0.6,1.52,0.92,0.92,2
Mike Tauchman,2025,34,1.9,1.47,-0.43,0.43,3
Mike Trout,2023,31,2.9,3.35,0.45,0.45,1
Mike Trout,2024,32,1.0,3.04,2.04,2.04,2
Mike Trout,2025,33,1.5,2.93,1.43,1.43,3
Mike Yastrzemski,2023,32,2.4,1.78,-0.62,0.62,1
Mike Yastrzemski,2024,33,2.1,1.77,-0.33,0.33,2
Mike Yastrzemski,2025,34,2.8,1.74,-1.06,1.06,3
Mitch Garver,2023,32,2.3,0.9,-1.4,1.4,1
Mookie Betts,2023,30,8.6,4.43,-4.17,4.17,1
Mookie Betts,2024,31,4.6,3.73,-0.87,0.87,2
Mookie Betts,2025,32,4.9,3.41,-1.49,1.49,3
Myles Straw,2023,28,0.9,2.19,1.29,1.29,1
Myles Straw,2025,30,2.9,1.73,-1.17,1.17,3
Nathaniel Lowe,2023,27,2.9,1.97,-0.93,0.93,1
Nathaniel Lowe,2024,28,3.0,1.77,-1.23,1.23,2
Nathaniel Lowe,2025,29,0.1,1.54,1.44,1.44,3
Nick Castellanos,2023,31,1.5,1.88,0.38,0.38,1
Nick Castellanos,2024,32,0.6,1.66,1.06,1.06,2
Nick Madrigal,2023,26,1.3,1.31,0.01,0.01,1
Nicky Lopez,2023,28,1.8,2.86,1.06,1.06,1
Nicky Lopez,2024,29,0.1,2.63,2.53,2.53,2
Nico Hoerner,2023,26,5.5,3.01,-2.49,2.49,1
Nico Hoerner,2024,27,3.7,2.78,-0.92,0.92,2
Nico Hoerner,2025,28,6.2,2.48,-3.72,3.72,3
Nolan Arenado,2023,32,2.2,3.9,1.7,1.7,1
Nolan Arenado,2024,33,2.7,3.38,0.68,0.68,2
Nolan Arenado,2025,34,1.3,3.17,1.87,1.87,3
Orlando Arcia,2023,28,1.7,1.02,-0.68,0.68,1
Orlando Arcia,2024,29,0.5,0.99,0.49,0.49,2
Ozzie Albies,2023,26,5.0,2.36,-2.64,2.64,1
Ozzie Albies,2024,27,1.6,2.57,0.97,0.97,2
Ozzie Albies,2025,28,2.1,2.38,0.28,0.28,3
Patrick Wisdom,2023,31,0.5,1.08,0.58,0.58,1
Paul DeJong,2024,30,0.9,1.48,0.58,0.58,2
Paul Goldschmidt,2023,35,3.3,4.32,1.02,1.02,1
Paul Goldschmidt,2024,36,1.4,3.27,1.87,1.87,2
Paul Goldschmidt,2025,37,1.2,2.9,1.7,1.7,3
Pete Alonso,2023,28,3.3,3.13,-0.17,0.17,1
Pete Alonso,2024,29,2.5,2.67,0.17,0.17,2
Pete Alonso,2025,30,3.4,2.34,-1.06,1.06,3
Rafael Devers,2023,26,3.5,2.6,-0.9,0.9,1
Rafael Devers,2024,27,3.9,2.43,-1.47,1.47,2
Rafael Devers,2025,28,4.1,2.32,-1.78,1.78,3
Rafael Ortega,2023,32,0.2,0.95,0.75,0.75,1
