name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Jesse Winker,2024,30,1.9,2.37,0.47,0.47,2
JesÃºs SÃ¡nchez,2023,25,1.5,1.57,0.07,0.07,1
JesÃºs SÃ¡nchez,2024,26,1.0,1.56,0.56,0.56,2
JesÃºs SÃ¡nchez,2025,27,1.3,1.44,0.14,0.14,3
Joc Pederson,2023,31,0.7,1.7,1.0,1.0,1
Joc Pederson,2024,32,2.8,1.75,1.05,-1.05,2
Joey Bart,2024,27,2.2,0.99,1.21,-1.21,2
Joey Bart,2025,28,0.5,0.98,0.48,0.48,3
Joey Gallo,2023,29,0.5,1.78,1.28,1.28,1
Joey Gallo,2024,30,0.2,1.78,1.58,1.58,2
Jon Berti,2023,33,2.2,1.59,0.61,-0.61,1
Jon Berti,2024,34,0.7,1.45,0.75,0.75,2
Jon Berti,2025,35,0.2,1.4,1.2,1.2,3
Jordan Luplow,2023,29,0.0,1.01,1.01,1.01,1
Jorge Mateo,2023,28,0.8,2.01,1.21,1.21,1
Jorge Mateo,2024,29,0.8,1.68,0.88,0.88,2
Jorge Polanco,2023,29,1.9,1.83,0.07,-0.07,1
Jorge Polanco,2024,30,1.3,1.55,0.25,0.25,2
Jorge Polanco,2025,31,2.6,1.41,1.19,-1.19,3
Jorge Soler,2023,31,1.5,0.95,0.55,-0.55,1
Jorge Soler,2024,32,1.1,0.9,0.2,-0.2,2
Jose Altuve,2023,33,2.8,3.02,0.22,0.22,1
Jose Altuve,2024,34,3.2,2.62,0.58,-0.58,2
Jose Altuve,2025,35,0.5,2.4,1.9,1.9,3
Jose Iglesias,2024,34,3.0,1.4,1.6,-1.6,2
Jose Trevino,2023,30,0.5,1.39,0.89,0.89,1
Jose Trevino,2024,31,0.6,1.24,0.64,0.64,2
Josh Bell,2025,32,0.5,2.08,1.58,1.58,3
Josh Donaldson,2023,37,0.1,1.43,1.33,1.33,1
Josh Naylor,2023,26,2.3,1.51,0.79,-0.79,1
Josh Naylor,2024,27,1.5,1.31,0.19,-0.19,2
Josh Naylor,2025,28,3.1,1.23,1.87,-1.87,3
Josh Rojas,2023,29,0.5,2.11,1.61,1.61,1
Josh Rojas,2024,30,2.1,1.84,0.26,-0.26,2
JosÃ© RamÃ­rez,2023,30,4.9,4.49,0.41,-0.41,1
JosÃ© RamÃ­rez,2024,31,6.8,4.18,2.62,-2.62,2
JosÃ© RamÃ­rez,2025,32,5.8,4.06,1.74,-1.74,3
Juan Soto,2023,24,5.3,4.78,0.52,-0.52,1
