name,season,actual_war,predicted_war,error,abs_error,tier
Keibert Ruiz,2023,1.4,1.92,0.52,0.52,1-2
Ketel Marte,2023,4.9,1.78,-3.12,3.12,4-5
Kevin Kiermaier,2023,3.8,1.74,-2.0599999999999996,2.0599999999999996,3-4
Kole Calhoun,2023,0.0,1.8,1.8,1.8,<0
Kyle Farmer,2023,1.7,1.0,-0.7,0.7,1-2
Kyle Isbel,2023,2.0,0.85,-1.15,1.15,1-2
Kyle Schwarber,2023,0.7,1.54,0.8400000000000001,0.8400000000000001,0-1
Kyle Tucker,2023,5.5,4.94,-0.5599999999999996,0.5599999999999996,5-6
LaMonte Wade Jr.,2023,2.8,1.08,-1.7199999999999998,1.7199999999999998,2-3
Lane Thomas,2023,3.3,1.52,-1.7799999999999998,1.7799999999999998,3-4
Lars Nootbaar,2023,3.3,2.6,-0.6999999999999997,0.6999999999999997,3-4
Leody Taveras,2023,2.9,1.72,-1.18,1.18,2-3
Lourdes Gurriel Jr.,2023,2.9,1.66,-1.24,1.24,2-3
Luis Arraez,2023,4.6,2.69,-1.9099999999999997,1.9099999999999997,4-5
Luis GarcÃ­a Jr.,2023,0.7,1.19,0.49,0.49,0-1
Luis Rengifo,2023,1.9,1.97,0.07000000000000006,0.07000000000000006,1-2
Luis Robert Jr.,2023,5.3,3.08,-2.2199999999999998,2.2199999999999998,5-6
Luke Maile,2023,0.8,0.63,-0.17000000000000004,0.17000000000000004,0-1
Manny Machado,2023,2.7,4.73,2.0300000000000002,2.0300000000000002,2-3
Manuel Margot,2023,0.6,1.96,1.3599999999999999,1.3599999999999999,0-1
Marcell Ozuna,2023,3.4,3.48,0.08000000000000007,0.08000000000000007,3-4
Marcus Semien,2023,7.7,3.63,-4.07,4.07,6+
Mark Canha,2023,2.2,1.72,-0.4800000000000002,0.4800000000000002,2-3
MartÃ­n Maldonado,2023,0.3,0.62,0.32,0.32,0-1
Matt Chapman,2023,4.3,2.59,-1.71,1.71,4-5
Matt Duffy,2023,0.2,1.47,1.27,1.27,0-1
Matt Olson,2023,7.5,3.21,-4.29,4.29,6+
Mauricio DubÃ³n,2023,2.7,1.1,-1.6,1.6,2-3
Max Kepler,2023,2.8,2.02,-0.7799999999999998,0.7799999999999998,2-3
Max Muncy,2023,2.9,2.33,-0.5699999999999998,0.5699999999999998,2-3
Michael A. Taylor,2023,1.9,1.54,-0.3599999999999999,0.3599999999999999,1-2
Michael Brantley,2023,0.1,1.37,1.27,1.27,0-1
Michael Conforto,2023,0.8,2.35,1.55,1.55,0-1
Miguel Andujar,2023,0.1,1.23,1.13,1.13,0-1
Miguel Rojas,2023,1.4,1.84,0.44000000000000017,0.44000000000000017,1-2
Mike Tauchman,2023,2.7,1.7,-1.0000000000000002,1.0000000000000002,2-3
Mike Trout,2023,2.9,3.82,0.9199999999999999,0.9199999999999999,2-3
Mike Yastrzemski,2023,2.4,2.25,-0.1499999999999999,0.1499999999999999,2-3
Mitch Garver,2023,2.3,0.95,-1.3499999999999999,1.3499999999999999,2-3
Mookie Betts,2023,8.6,4.93,-3.67,3.67,6+
Myles Straw,2023,0.9,2.28,1.38,1.38,0-1
Nathaniel Lowe,2023,2.9,2.01,-0.8900000000000001,0.8900000000000001,2-3
Nick Castellanos,2023,1.5,1.75,0.25,0.25,1-2
Nick Madrigal,2023,1.3,1.5,0.19999999999999996,0.19999999999999996,1-2
Nicky Lopez,2023,1.8,2.93,1.1300000000000001,1.1300000000000001,1-2
Nico Hoerner,2023,5.5,3.13,-2.37,2.37,5-6
Nolan Arenado,2023,2.2,4.88,2.6799999999999997,2.6799999999999997,2-3
Orlando Arcia,2023,1.7,0.94,-0.76,0.76,1-2
Ozzie Albies,2023,5.0,2.32,-2.68,2.68,4-5
Patrick Wisdom,2023,0.5,1.09,0.5900000000000001,0.5900000000000001,0-1
Paul Goldschmidt,2023,3.3,5.15,1.8500000000000005,1.8500000000000005,3-4
Pete Alonso,2023,3.3,3.25,-0.04999999999999982,0.04999999999999982,3-4
Rafael Devers,2023,3.5,2.84,-0.6600000000000001,0.6600000000000001,3-4
Rafael Ortega,2023,0.2,0.97,0.77,0.77,0-1
RamÃ³n Laureano,2023,1.7,2.11,0.4099999999999999,0.4099999999999999,1-2
RamÃ³n UrÃ­as,2023,1.8,2.45,0.6500000000000001,0.6500000000000001,1-2
Randal Grichuk,2023,1.4,0.93,-0.46999999999999986,0.46999999999999986,1-2
Randy Arozarena,2023,3.4,3.19,-0.20999999999999996,0.20999999999999996,3-4
Riley Adams,2023,1.1,0.61,-0.4900000000000001,0.4900000000000001,1-2
Robbie Grossman,2023,0.1,1.15,1.0499999999999998,1.0499999999999998,0-1
Ronald AcuÃ±a Jr.,2023,8.4,3.52,-4.880000000000001,4.880000000000001,6+
Ryan Jeffers,2023,3.2,1.32,-1.8800000000000001,1.8800000000000001,3-4
Ryan McMahon,2023,2.9,2.62,-0.2799999999999998,0.2799999999999998,2-3
Ryan Mountcastle,2023,2.1,1.6,-0.5,0.5,2-3
Salvador Perez,2023,0.4,2.48,2.08,2.08,0-1
Sam Haggerty,2023,0.3,1.91,1.6099999999999999,1.6099999999999999,0-1
Sam Hilliard,2023,0.2,0.9,0.7,0.7,0-1
Santiago Espinal,2023,0.3,2.14,1.84,1.84,0-1
Sean Murphy,2023,4.0,2.28,-1.7200000000000002,1.7200000000000002,3-4
